game_id,lower_bound,upper_bound,gap,bonus_size,points_rule,bonus_rule,action_space_size,total_equilibria_in_game,pure_equilibria_in_game,mixed_equilibria_in_game,symmetric_equilibria_in_game,equilibrium_id,equilibrium_type,is_symmetric,is_pure,is_mixed,row_strategy,col_strategy,row_action_probs,col_action_probs,analysis_success,error_message,selection_stage,selection_reason,payoff_dominant,risk_dominant,strongly_dominant,total_components,surviving_components,row_support_size,col_support_size,row_support_proportion,col_support_proportion,max_support_size,min_support_size
979758,12,26,3,8,normal_minus_one,equal,15,43,9,34,43,43.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[26, 1.0]]","[[26, 1.0]]",True,,payoff_dominance,Selected via payoff (Pareto) dominance,True,False,False,2,1,1,1,0.06666666666666667,0.06666666666666667,1,1
984204,12,27,4,6,normal_minus_one,gap_absolute,16,12,6,6,2,7.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.8333333333333334, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.8333333333333334, 0.0]","[[22, 0.16666666666666666], [26, 0.8333333333333334]]","[[22, 0.16666666666666666], [26, 0.8333333333333334]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.125,0.125,2,2
1011122,13,18,2,13,normal_minus_two,gap_absolute,6,15,4,11,3,5.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.4230769230769231, 0.0, 0.5769230769230769, 0.0]","[0.0, 0.0, 0.4230769230769231, 0.0, 0.5769230769230769, 0.0]","[[15, 0.4230769230769231], [17, 0.5769230769230769]]","[[15, 0.4230769230769231], [17, 0.5769230769230769]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.3333333333333333,0.3333333333333333,2,2
1021372,13,20,3,14,normal,gap_lower,8,1,0,1,1,1.0,mixed_symmetric,True,False,True,"[0.0, 0.35714285714285715, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.21428571428571427]","[0.0, 0.35714285714285715, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.21428571428571427]","[[14, 0.35714285714285715], [17, 0.42857142857142855], [20, 0.21428571428571427]]","[[14, 0.35714285714285715], [17, 0.42857142857142855], [20, 0.21428571428571427]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,3,3,0.375,0.375,3,3
1034535,13,23,4,6,two_less_max_costless,less_upper,11,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[23, 1.0]]","[[23, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.09090909090909091,0.09090909090909091,1,1
1035491,13,23,4,10,normal_plus_one,unequal,11,30,2,28,16,7.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3, 0.4]","[[20, 0.1], [21, 0.2], [22, 0.3], [23, 0.4]]","[[20, 0.1], [21, 0.2], [22, 0.3], [23, 0.4]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,4,4,0.36363636363636365,0.36363636363636365,4,4
1044236,13,25,1,5,normal_minus_two,sum_odd,13,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.6]","[[24, 0.4], [25, 0.6]]","[[24, 0.4], [25, 0.6]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.15384615384615385,0.15384615384615385,2,2
1053390,13,27,3,2,normal_minus_one,more_than,15,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[27, 1.0]]","[[27, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.06666666666666667,0.06666666666666667,1,1
1060946,13,28,2,11,normal_minus_two,coordinate_low,16,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[28, 1.0]]","[[28, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.0625,0.0625,1,1
1062222,13,28,3,16,normal_minus_one,sum_upper,16,7,4,3,3,3.0,pure_symmetric,True,True,False,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[14, 1.0]]","[[14, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.0625,0.0625,1,1
1068891,13,30,2,4,two_less_max_costless,gap_lower,18,5,0,5,1,5.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]","[[28, 0.5], [30, 0.5]]","[[28, 0.5], [30, 0.5]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.1111111111111111,0.1111111111111111,2,2
1076112,13,31,2,12,normal_minus_one,equal,19,124,13,111,124,51.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5833333333333334, 0.0, 0.4166666666666667, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5833333333333334, 0.0, 0.4166666666666667, 0.0, 0.0, 0.0, 0.0]","[[25, 0.5833333333333334], [27, 0.4166666666666667]]","[[25, 0.5833333333333334], [27, 0.4166666666666667]]",True,,payoff_dominance,Selected via payoff (Pareto) dominance,True,False,False,2,1,2,2,0.10526315789473684,0.10526315789473684,2,2
1077540,13,31,4,17,normal_minus_one,sum_upper,19,9,5,4,1,9.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[31, 1.0]]","[[31, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.05263157894736842,0.05263157894736842,1,1
1079799,14,18,4,7,two_less_max_costless,more_than,5,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[[18, 1.0]]","[[18, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.2,0.2,1,1
